conf_mouse.y,vase_color,end_thanks.started,relevent,surprise_irrelavent_mouse.leftButton,mouse_random.time,mouse_random.midButton,confidence_question.stopped,__participant,response_box_trial.stopped,responce_box_train.started,trial_mouse.time,trial_mouse.leftButton,mouse_random.clicked_name,relevant_object,train.started,surprise_loop.ran,surprise_relavent_mouse.clicked_name,response_box_trial.started,surprise_irrelavent_mouse.rightButton,flower_color,trial_mouse.corr,mouse_random.corr,done_read_finish_train.keys,surprise_irrelavent_mouse.y,surprise_irrelavent_mouse.x,language,conf_mouse.midButton,conf_mouse_irrellevant.y,surprise.stopped,response_box_relavent_surprise.stopped,conf_mouse.clicked_name,instructions.started,__session,responce_box_train.stopped,trials.thisIndex,done_read_finish_train.duration,conf_mouse_irrellevant.leftButton,trial_mouse.y,instructions.stopped,surprise_loop.thisIndex,surprise_relavent_mouse.corr,frameRate,conf_mouse_irrellevant.clicked_name,trials.thisTrialN,mouse_random.y,surprise_irrelavent_mouse.clicked_name,surprise_relavent_mouse.rightButton,training.thisN,trial_mouse.rightButton,confidence_question.started,conf_mouse_irrellevant.x,training.thisTrialN,training.ran,surprise_relavent_mouse.time,trial_mouse.midButton,mouse_random.rightButton,trials.ran,conf_mouse_irrellevant.midButton,__datetime,train_mouse.midButton,done_read_finish_train.rt,random_task.started,conf_mouse.leftButton,surprise_loop.thisN,finish_train.stopped,participant,mouse_random.x,train_mouse.time,conf_mouse.x,random_task.stopped,surprise_loop.thisRepN,surprise.started,trials.thisN,pot_duration,confidence_in_irrelavent.stopped,trials.thisRepN,prolific_id,training.thisIndex,wrong_answer_train.started,trial_mouse.x,surprise_loop.thisTrialN,training.thisRepN,psychopyVersion,train_mouse.corr,OS,train_mouse.leftButton,expName,surprise_irrelavent_mouse.midButton,pot_image_file,finish_train.started,conf_mouse_irrellevant.time,surprise_relavent_mouse.x,conf_mouse.rightButton,trial.started,conf_mouse.time,ori,surprise_irrelavent_mouse.time,trial.stopped,response_box_relavent_surprise.started,surprise_relavent_mouse.y,response_box_surprise.stopped,train_mouse.rightButton,surprise_relavent_mouse.midButton,irrelevent_surprise,confidence_in_irrelavent.started,date,train_mouse.clicked_name,response_box_surprise.started,surprise_relavent,trial_mouse.clicked_name,__experimentName,conf_mouse_irrellevant.rightButton,relevent_train,train_mouse.x,surprise_irrelavent_mouse.corr,end_thanks.stopped,train_mouse.y,surprise_relavent_mouse.leftButton,mouse_random.leftButton,train.stopped,wrong_answer_train.stopped
﻿,green,,poly_1,,,,,247697,,36.7234,,,,vase,36.723,,,,,yellow,,,,,,English,,,,,,,SESSION,36.7236,,,,,,,,60.24096386,,,,,,9,,,,9,1,,,,,,2025-05-05_02h10.08.842,[],,,,,,247697,,[],,,,,,1,,,67e97d506e0dfa7ff0b407c5,0,36.7238,,,0,2024.2.4,[],Win32,[],test3103025,,resources/pots/yellow_green.jpg,,,,,,,0,,,,,,[],,poly_1_surprise,,2025-05-05_02h10.49.333,[],,poly_1_surprise_relavent,,rotating_iia,,poly_1_train,[],,,[],,,36.7231,36.7239
﻿,,,,,,,,247697,,,,,,,,,,,,,,,space,,,English,,,,,,,SESSION,,,,,,,,,60.24096386,,,,,,,,,,,,,,,,,2025-05-05_02h10.08.842,,5.0363,,,,41.8079,247697,,,,,,,,,,,67e97d506e0dfa7ff0b407c5,,,,,,2024.2.4,,Win32,,test3103025,,,36.7265,,,,,,,,,,,,,,,,2025-05-05_02h10.49.333,,,,,rotating_iia,,,,,,,,,,
﻿[-105],deepblue,,poly_3,,[],[],51.2253,247697,44.5148,,[0.676800000011923],[1],[],vase,,,,43.8339,,green,[1],[],,,,English,[0],,,,"[""Memory"",""Memory""]",,SESSION,,21,,,[-96],,,,60.24096386,,0,[],,,,[0],44.5156,,,,,[0],[],1,,2025-05-05_02h10.08.842,,,43.8312,[1],,,247697,[],,[-84],43.8332,,,0,1,,0,67e97d506e0dfa7ff0b407c5,,,[330],,,2024.2.4,,Win32,,test3103025,,resources/pots/green_deepblue.jpg,,,,[0],41.8333,[6.7072000000029846],225,,43.8304,,,,,,poly_3_surprise,,2025-05-05_02h10.49.333,,,poly_3_surprise_relavent,"[""poly_3"",""poly_3""]",rotating_iia,,poly_3_train,,,,,,[],,
﻿[],purple,,poly_2,,[],[],54.04,247697,54.0396,,[0.8149999999999977],[1],[],vase,,,,53.2241,,lightblue,[1],[],,,,English,[],,,,[],,SESSION,,8,,,[-103],,,,60.24096386,,1,[],,,,[0],54.0397,,,,,[0],[],1,,2025-05-05_02h10.08.842,,,53.2234,[],,,247697,[],,[],53.2235,,,1,1,,0,67e97d506e0dfa7ff0b407c5,,,[93],,,2024.2.4,,Win32,,test3103025,,resources/pots/lightblue_purple.jpg,,,,[],51.2277,[],315,,53.2232,,,,,,poly_2_surprise,,2025-05-05_02h10.49.333,,,poly_2_surprise_relavent,"[""poly_2"",""poly_2""]",rotating_iia,,poly_2_train,,,,,,[],,
﻿[],green,,poly_1,,[],[],56.8067,247697,56.8059,,[0.7654000000059682],[1],[],vase,,,,56.0399,,yellow,[1],[],,,,English,[],,,,[],,SESSION,,9,,,[-108],,,,60.24096386,,2,[],,,,[0],56.8063,,,,,[0],[],1,,2025-05-05_02h10.08.842,,,56.0392,[],,,247697,[],,[],56.0394,,,2,1,,0,67e97d506e0dfa7ff0b407c5,,,[-85],,,2024.2.4,,Win32,,test3103025,,resources/pots/yellow_green.jpg,,,,[],54.042,[],45,,56.0392,,,,,,poly_1_surprise,,2025-05-05_02h10.49.333,,,poly_1_surprise_relavent,"[""poly_1"",""poly_1""]",rotating_iia,,poly_1_train,,,,,,[],,
﻿[],purple,,poly_2,,[],[],59.5907,247697,59.5904,,[0.783200000002978],[1],[],vase,,,,58.8068,,red,[1],[],,,,English,[],,,,[],,SESSION,,11,,,[-111],,,,60.24096386,,3,[],,,,[0],59.5905,,,,,[0],[],1,,2025-05-05_02h10.08.842,,,58.8061,[],,,247697,[],,[],58.8063,,,3,1,,0,67e97d506e0dfa7ff0b407c5,,,[87],,,2024.2.4,,Win32,,test3103025,,resources/pots/red_purple.jpg,,,,[],56.8078,[],45,,58.8059,,,,,,poly_2_surprise,,2025-05-05_02h10.49.333,,,poly_0_surprise_relavent,"[""poly_2"",""poly_2""]",rotating_iia,,poly_2_train,,,,,,[],,
﻿[-103],purple,,poly_2,,[],[],63.3389,247697,62.1218,,[0.5329000000059523],[1],[],vase,,,,61.5886,,green,[1],[],,,,English,[0],,,,"[""Memory"",""Memory""]",,SESSION,,40,,,[-115],,,,60.24096386,,4,[],,,,[0],62.122,,,,,[0],[],1,,2025-05-05_02h10.08.842,,,61.5881,[1],,,247697,[],,[-80],61.5884,,,4,1,,0,67e97d506e0dfa7ff0b407c5,,,[88],,,2024.2.4,,Win32,,test3103025,,resources/pots/green_purple.jpg,,,,[0],59.5933,[1.2162999999970054],90,,61.5881,,,,,,poly_2_surprise,,2025-05-05_02h10.49.333,,,poly_3_surprise_relavent,"[""poly_2"",""poly_2""]",rotating_iia,,poly_2_train,,,,,,[],,
﻿[],purple,,poly_2,,[],[],65.9907,247697,65.9895,,[0.64970000000298],[1],[],vase,,,,65.3392,,red,[1],[],,,,English,[],,,,[],,SESSION,,36,,,[-125],,,,60.24096386,,5,[],,,,[0],65.9897,,,,,[0],[],1,,2025-05-05_02h10.08.842,,,65.3383,[],,,247697,[],,[],65.3387,,,5,1,,0,67e97d506e0dfa7ff0b407c5,,,[92],,,2024.2.4,,Win32,,test3103025,,resources/pots/red_purple.jpg,,,,[],63.3415,[],135,,65.3381,,,,,,poly_2_surprise,,2025-05-05_02h10.49.333,,,poly_0_surprise_relavent,"[""poly_2"",""poly_2""]",rotating_iia,,poly_2_train,,,,,,[],,
﻿[],orange,,poly_0,,[],[],69.2389,247697,69.2386,,[1.2492000000029861],[1],[],vase,,,,67.989,,lightblue,[1],[],,,,English,[],,,,[],,SESSION,,30,,,[-102],,,,60.24096386,,6,[],,,,[0],69.2387,,,,,[0],[],1,,2025-05-05_02h10.08.842,,,67.9882,[],,,247697,[],,[],67.9884,,,6,1,,0,67e97d506e0dfa7ff0b407c5,,,[-267],,,2024.2.4,,Win32,,test3103025,,resources/pots/lightblue_orange.jpg,,,,[],65.9922,[],45,,67.988,,,,,,poly_0_surprise,,2025-05-05_02h10.49.333,,,poly_2_surprise_relavent,"[""poly_0"",""poly_0""]",rotating_iia,,poly_0_train,,,,,,[],,
﻿[-105],purple,,poly_2,,[],[],72.9384,247697,71.8572,,[0.6178999999910673],[1],[],vase,,,,71.238,,red,[1],[],,,,English,[0],,,,"[""Memory"",""Memory""]",,SESSION,,38,,,[-122],,,,60.24096386,,7,[],,,,[0],71.8578,,,,,[0],[],1,,2025-05-05_02h10.08.842,,,71.2374,[1],,,247697,[],,[-127],71.2376,,,7,1,,0,67e97d506e0dfa7ff0b407c5,,,[91],,,2024.2.4,,Win32,,test3103025,,resources/pots/red_purple.jpg,,,,[0],69.2409,[1.080200000002975],270,,71.2373,,,,,,poly_2_surprise,,2025-05-05_02h10.49.333,,,poly_0_surprise_relavent,"[""poly_2"",""poly_2""]",rotating_iia,,poly_2_train,,,,,,[],,
﻿[],deepblue,,poly_3,,[],[],75.8107,247697,75.8101,,[0.8707000000029836],[1],[],vase,,,,74.939,,red,[1],[],,,,English,[],,,,[],,SESSION,,7,,,[-125],,,,60.24096386,,8,[],,,,[0],75.8103,,,,,[0],[],1,,2025-05-05_02h10.08.842,,,74.9382,[],,,247697,[],,[],74.9387,,,8,1,,0,67e97d506e0dfa7ff0b407c5,,,[278],,,2024.2.4,,Win32,,test3103025,,resources/pots/red_deepblue.jpg,,,,[],72.9409,[],180,,74.9381,,,,,,poly_3_surprise,,2025-05-05_02h10.49.333,,,poly_0_surprise_relavent,"[""poly_3"",""poly_3""]",rotating_iia,,poly_3_train,,,,,,[],,
﻿[],deepblue,,poly_3,,[],[],78.2104,247697,78.2098,,[0.39959999999405227],[1],[],vase,,,,77.8096,,red,[1],[],,,,English,[],,,,[],,SESSION,,12,,,[-119],,,,60.24096386,,9,[],,,,[0],78.21,,,,,[0],[],1,,2025-05-05_02h10.08.842,,,77.8086,[],,,247697,[],,[],77.8091,,,9,1,,0,67e97d506e0dfa7ff0b407c5,,,[270],,,2024.2.4,,Win32,,test3103025,,resources/pots/red_deepblue.jpg,,,,[],75.8124,[],225,,77.8085,,,,,,poly_3_surprise,,2025-05-05_02h10.49.333,,,poly_0_surprise_relavent,"[""poly_3"",""poly_3""]",rotating_iia,,poly_3_train,,,,,,[],,
﻿[],orange,,poly_0,,[],[],81.0698,247697,81.0694,,[0.8662000000029764],[1],[],vase,,,,80.2029,,yellow,[1],[],,,,English,[],,,,[],,SESSION,,28,,,[-86],,,,60.24096386,,10,[],,,,[0],81.0695,,,,,[0],[],1,,2025-05-05_02h10.08.842,,,80.2025,[],,,247697,[],,[],80.2026,,,10,1,,0,67e97d506e0dfa7ff0b407c5,,,[-254],,,2024.2.4,,Win32,,test3103025,,resources/pots/yellow_orange.jpg,,,,[],78.2116,[],180,,80.2025,,,,,,poly_0_surprise,,2025-05-05_02h10.49.333,,,poly_1_surprise_relavent,"[""poly_0"",""poly_0""]",rotating_iia,,poly_0_train,,,,,,[],,
