Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6818933920ac430c9134b866,67744dd5d793cc3d79ba38fc,APPROVED,Not Applicable,2025-05-05T10:30:23.978000Z,2025-05-05T10:36:30.608000Z,2025-05-06T06:38:36.469000Z,2025-05-05T10:36:31.096017Z,367.0,NOCODE,638,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
681895df2ff03f00b595e070,63beebaa4c5884797ff00a98,APPROVED,Not Applicable,2025-05-05T10:41:37.812000Z,2025-05-05T10:54:17.231000Z,2025-05-06T06:38:36.785000Z,2025-05-05T10:54:17.689851Z,760.0,"could I have a new link as it brings up the following error on both chrome and firefox &quot;Unfortunately we encountered the following error:  ReferenceError: gui is not defined Try to run the experiment again. If the error persists, contact the experiment designer.&quot;",1930,73,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
68189969b7f45a53e5f8e2ab,66adf5884ffe50b710e7ba89,APPROVED,Not Applicable,2025-05-05T10:56:49.078000Z,2025-05-05T11:00:19.581000Z,2025-05-06T06:38:37.071000Z,2025-05-05T11:00:20.135550Z,211.0,NOCODE,296,23,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
68189a4be660b9186c4826e0,67ad6f6e7d9fe7022e4f3e6b,APPROVED,Not Applicable,2025-05-05T11:00:54.711000Z,2025-05-05T11:07:43.053000Z,2025-05-06T06:38:37.358000Z,2025-05-05T11:07:43.541449Z,409.0,NOCODE,356,41,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,Part-Time
68189ad2e7479844727d8826,666d97ca3efe7fbd33436995,APPROVED,Not Applicable,2025-05-05T11:03:50.289000Z,2025-05-05T11:11:08.747000Z,2025-05-06T06:38:37.646000Z,2025-05-05T11:11:09.227925Z,439.0,NOCODE,330,27,Male,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Part-Time
68189c5e522c2ee9284f6c5d,5d8cef3c28e183001a335ab0,APPROVED,Not Applicable,2025-05-05T11:09:18.189000Z,2025-05-05T11:17:21.356000Z,2025-05-06T06:38:37.891000Z,2025-05-05T11:17:21.845477Z,484.0,NOCODE,5550,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68189cd870111c13f85f0bb3,67668ecc7d364b41006a474d,APPROVED,Not Applicable,2025-05-05T11:11:20.612000Z,2025-05-05T11:18:24.444000Z,2025-05-06T06:38:38.157000Z,2025-05-05T11:18:24.931074Z,424.0,NOCODE,54,26,Male,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Part-Time
68189e44f0a31358cf44e7fd,6787d648d7b1963c661f9443,APPROVED,Not Applicable,2025-05-05T11:17:28.323000Z,2025-05-05T11:37:44.714000Z,2025-05-06T06:38:38.436000Z,2025-05-05T11:37:45.256667Z,1217.0,NOCODE,154,22,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
68189eacbeb22d975f40cd59,5f7f18137488a50407d729e6,APPROVED,Not Applicable,2025-05-05T11:19:19.083000Z,2025-05-05T11:27:01.457000Z,2025-05-06T06:38:38.728000Z,2025-05-05T11:27:01.965438Z,463.0,NOCODE,743,27,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
6818a085df3b06880e8c7070,678a0a90ac553c2f4b301c67,APPROVED,Not Applicable,2025-05-05T11:27:26.046000Z,2025-05-05T11:34:57.215000Z,2025-05-06T06:38:38.990000Z,2025-05-05T11:34:57.697634Z,452.0,NOCODE,50,23,Female,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
6818a265cff7c4cc953f5c7d,676056c4ad585b4aeebf6154,APPROVED,Not Applicable,2025-05-05T11:35:04.815000Z,2025-05-05T11:38:28.920000Z,2025-05-06T06:38:39.275000Z,2025-05-05T11:38:29.407419Z,205.0,NOCODE,283,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
6818a308d0ae7984c77d88bf,6738c218706186b3fe8e8f56,APPROVED,Not Applicable,2025-05-05T11:38:04.998000Z,2025-05-05T11:50:58.197000Z,2025-05-06T06:38:39.541000Z,2025-05-05T11:50:58.653522Z,774.0,NOCODE,405,31,Female,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Full-Time
6818a6227fdf4da35986a49f,67ee3407eb3409e71337a5fa,APPROVED,Not Applicable,2025-05-05T11:50:58.212000Z,2025-05-05T12:07:20.539000Z,2025-05-06T06:38:39.773000Z,2025-05-05T12:07:21.163343Z,983.0,NOCODE,20,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6818a9cb0a893eee4a4d0a33,6097ec1a8c0b4df21cbb9024,APPROVED,Not Applicable,2025-05-05T12:06:35.064000Z,2025-05-05T12:11:42.563000Z,2025-05-06T06:38:40.026000Z,2025-05-05T12:11:43.041724Z,308.0,NOCODE,1144,45,Male,White,South Africa,South Africa,South Africa,English,No,Other
6818a9f9ebbc8f66e3aaeed6,67506d364db3a23909eae9bc,APPROVED,Not Applicable,2025-05-05T12:08:25.822000Z,2025-05-05T12:15:35.941000Z,2025-05-06T06:38:40.294000Z,2025-05-05T12:15:36.669792Z,431.0,NOCODE,191,43,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
6818aaff39bacca42aeaa010,67dbbdb452081ea930c8ab17,APPROVED,Not Applicable,2025-05-05T12:11:43.839000Z,2025-05-05T12:18:23.153000Z,2025-05-06T06:38:40.562000Z,2025-05-05T12:18:23.903742Z,400.0,NOCODE,457,23,Male,Black,United States,United States,United States,English,No,Full-Time
68186877e3a4d793086ec459,65bcba7abc3559a97b375589,RETURNED,Not Applicable,2025-05-05T07:27:55.641000Z,,,,,,597,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68186880efe6875d61786b9b,6554e79557e3d6be08e32ceb,RETURNED,Not Applicable,2025-05-05T07:28:15.951000Z,,,,,,2583,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
681871a4c1d7bc3fccb58743,67ed02e0dc9dddacae55ca3a,TIMED-OUT,Not Applicable,2025-05-05T08:07:27.001000Z,,,,4842001.0,,411,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
681873dbd4c6e687ee4c8249,629f6b8c65fcae219e245284,RETURNED,Not Applicable,2025-05-05T08:26:27.710000Z,,,,,,3856,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
