Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67f65f4c3bbf4ec3d34ee71f,5fd979cd5bc47d2522d06e18,APPROVED,Not Applicable,2025-04-09T11:51:49.020000Z,2025-04-09T11:56:52.616000Z,2025-04-10T11:48:46.235000Z,2025-04-09T11:56:53.357097Z,304,NOCODE,1778,42,Male,White,Australia,Australia,Australia,English,DATA_EXPIRED,DATA_EXPIRED
67f65f4d218c88ceb1e701df,5e47a5ae418f6125620ee944,APPROVED,Not Applicable,2025-04-09T11:52:38.891000Z,2025-04-09T11:57:57.367000Z,2025-04-10T11:48:46.511000Z,2025-04-09T11:57:58.069155Z,319,NOCODE,415,46,Male,White,Australia,Australia,Australia,English,No,Full-Time
67f660d881ed0b8b4f570617,667c3807e41cac1451ecf0e9,APPROVED,Not Applicable,2025-04-09T11:58:33.439000Z,2025-04-09T12:04:24.568000Z,2025-04-10T11:48:46.844000Z,2025-04-09T12:04:25.362051Z,352,NOCODE,120,29,Male,White,Australia,Australia,Australia,English,Yes,Unemployed (and job seeking)
67f66137361d1aa677b2d3b2,67acd0613d7ac65fd6711f58,APPROVED,Not Applicable,2025-04-09T12:00:04.158000Z,2025-04-09T12:08:07.895000Z,2025-04-10T11:48:47.169000Z,2025-04-09T12:08:08.958484Z,484,NOCODE,131,24,Male,Black,Canada,Canada,Nigeria,English,Yes,Full-Time
67f66252150965f9bb63fa2b,5f392fae9168cc472f0468f6,APPROVED,Not Applicable,2025-04-09T12:04:34.125000Z,2025-04-10T11:48:26.089000Z,2025-04-10T11:48:26.685000Z,2025-04-10T11:48:26.901351Z,85432,Manual Completion,1396,77,Male,White,Ireland,Ireland,Ireland,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
67f662ec4c65af1e3637b3f9,66d5da797f03447741360d11,APPROVED,Not Applicable,2025-04-09T12:08:25.075000Z,2025-04-09T12:12:51.737000Z,2025-04-10T11:48:47.496000Z,2025-04-09T12:12:52.420545Z,267,NOCODE,84,29,Male,White,Ireland,Ireland,Ireland,English,No,DATA_EXPIRED
67f66374e35051403284eafc,6115a5048966badceb7f00da,TIMED-OUT,Not Applicable,2025-04-09T12:09:42.363000Z,,,2025-04-30T09:31:34.877795Z,1804913,,1332,46,Male,Asian,Sri Lanka,Australia,Sri Lanka,English,Yes,Part-Time
67f664e358bbb309cf042c52,66c741cbf31907506de5275b,APPROVED,Not Applicable,2025-04-09T12:23:50.577000Z,2025-04-09T12:34:32.856000Z,2025-04-10T11:48:56.416000Z,2025-04-09T12:34:33.650352Z,643,NOCODE,140,21,Female,Black,Kenya,Canada,Kenya,English,Yes,Full-Time
67f6696b64705bf16e64c1f7,6609688e8e4fe9698ab13a66,APPROVED,Not Applicable,2025-04-09T12:35:48.062000Z,2025-04-09T12:45:09.009000Z,2025-04-10T11:48:47.848000Z,2025-04-09T12:45:09.693874Z,561,NOCODE,804,42,Male,White,Canada,Canada,Canada,English,No,Full-Time
67f66bf2a765cfcee564c2d1,6694154a46060b3c49b2d6fd,APPROVED,Not Applicable,2025-04-09T12:45:45.150000Z,2025-04-09T12:50:15.748000Z,2025-04-10T11:48:48.292000Z,2025-04-09T12:50:16.442254Z,271,NOCODE,434,28,Male,White,Canada,Canada,Canada,English,No,Full-Time
